gx,gy,gz,avgx,avgy,avgz,minx,maxx,miny,maxy,minz,maxz,,,,,,,,,,
0.078923,0.595678,-0.607154,-0.013392,0.430812,-0.380645,-0.086736,0.078923,0.299029,0.612403,-0.961057,-0.574071,,,,,,,,,,
0.103949,0.70445,-0.618385,-0.005286,0.450729,-0.352042,-0.086736,0.103949,0.299029,0.70445,-0.961057,-0.574071,,,,,,,,,,
0.106269,0.768296,-0.620826,0.002942,0.473918,-0.31996,-0.086736,0.106269,0.299029,0.768296,-0.961057,-0.574071,,,,,,,,,,
0.104804,0.85839,-0.637551,0.010932,0.500397,-0.284258,-0.086736,0.106269,0.299029,0.85839,-0.961057,-0.574071,,,,,,,,,,
0.104926,1.079839,-0.634377,0.01869,0.538863,-0.235433,-0.086736,0.106269,0.299029,1.079839,-0.961057,-0.574071,,,,,,,,,,
0.100043,1.198865,-0.640603,0.025801,0.583342,-0.180053,-0.086736,0.106269,0.299029,1.198865,-0.961057,-0.574071,,,,,,,,,,
0.037173,1.311787,-0.678447,0.029262,0.630428,-0.122627,-0.086736,0.106269,0.299029,1.311787,-0.961057,-0.574071,,,,,,,,,,
-0.240066,1.443264,-0.8308,0.018904,0.67097,-0.078801,-0.240066,0.106269,0.299029,1.443264,-0.961057,-0.574071,,,,,,,,,,
-0.127754,1.552158,-0.975096,0.016853,0.727065,-0.028823,-0.240066,0.106269,0.299029,1.552158,-0.975096,-0.574071,,,,,,,,,,
0.161082,1.59342,-0.994506,0.027986,0.80083,0.042208,-0.240066,0.161082,0.299029,1.59342,-0.994506,-0.574071,,,,,,,,,,
0.303058,1.536776,-0.967161,0.044729,0.87946,0.120485,-0.240066,0.303058,0.337484,1.59342,-0.994506,-0.574071,,,,,,,,,,
0.349936,1.455228,-0.942379,0.0624,0.953018,0.194977,-0.240066,0.349936,0.376915,1.59342,-0.994506,-0.574071,,,,,,,,,,
0.332235,1.22853,-0.911738,0.079161,1.011683,0.252768,-0.240066,0.349936,0.376915,1.59342,-0.994506,-0.574071,,,,,,,,,,
0.270707,1.06873,-0.90661,0.093957,1.059751,0.297888,-0.240066,0.349936,0.376915,1.59342,-0.994506,-0.574071,,,,,,,,,,
0.178661,0.902216,-0.898553,0.104456,1.096014,0.331576,-0.240066,0.349936,0.376915,1.59342,-0.994506,-0.574071,,,,,,,,,,
0.093451,0.793566,-0.833364,0.107941,1.120332,0.3551,-0.240066,0.349936,0.417201,1.59342,-0.994506,-0.574071,,,,,,,,,,
0.005066,0.761704,-0.717512,0.105433,1.135049,0.372081,-0.240066,0.349936,0.536959,1.59342,-0.994506,-0.574071,,,,,,,,,,
-0.007996,0.781359,-0.712507,0.102094,1.14393,0.378753,-0.240066,0.349936,0.590063,1.59342,-0.994506,-0.574071,,,,,,,,,,
-0.02936,0.801257,-0.719221,0.098016,1.150412,0.379369,-0.240066,0.349936,0.595678,1.59342,-0.994506,-0.574071,,,,,,,,,,
-0.030947,0.802966,-0.722151,0.094708,1.156632,0.378185,-0.240066,0.349936,0.595678,1.59342,-0.994506,-0.607154,,,,,,,,,,
-0.025575,0.757432,-0.738265,0.089483,1.159495,0.374492,-0.240066,0.349936,0.70445,1.59342,-0.994506,-0.618385,,,,,,,,,,
-0.009583,0.724348,-0.745102,0.083806,1.154813,0.363475,-0.240066,0.349936,0.724348,1.59342,-0.994506,-0.620826,,,,,,,,,,
0.02411,0.607764,-0.805408,0.079699,1.142678,0.342111,-0.240066,0.349936,0.607764,1.59342,-0.994506,-0.634377,,,,,,,,,,
0.042056,0.555637,-0.832143,0.076561,1.124403,0.314106,-0.240066,0.349936,0.555637,1.59342,-0.994506,-0.634377,,,,,,,,,,
0.037539,0.539401,-0.832998,0.073192,1.094012,0.273784,-0.240066,0.349936,0.539401,1.59342,-0.994506,-0.640603,,,,,,,,,,
0.01117,0.540133,-0.827382,0.068748,1.056632,0.227065,-0.240066,0.349936,0.539401,1.59342,-0.994506,-0.678447,,,,,,,,,,
