gx,gy,gz,avgx,avgy,avgz,minx,maxx,miny,maxy,minz,maxz,,,,,,,,,,,
0.005066,0.973997,0.19331,0.006183,0.979418,1.172038,0.002014,0.010926,0.967771,0.979857,0.186474,0.199414,,,,,,,,,,,
0.006287,0.970579,0.192578,0.00622,0.979485,1.172038,0.002014,0.010926,0.967771,0.979857,0.186474,0.199414,,,,,,,,,,,
0.0047,0.970213,0.192089,0.006012,0.979064,1.171531,0.002014,0.010926,0.967771,0.979857,0.186474,0.199414,,,,,,,,,,,
0.006653,0.975584,0.193798,0.006098,0.979289,1.171891,0.002014,0.010926,0.967771,0.979857,0.186474,0.199414,,,,,,,,,,,
0.006165,0.971434,0.191357,0.006195,0.979466,1.172245,0.002014,0.010926,0.967771,0.979857,0.186474,0.199414,,,,,,,,,,,
0.006043,0.975096,0.195141,0.006189,0.979576,1.172374,0.002014,0.010926,0.967771,0.979857,0.186474,0.199414,,,,,,,,,,,
0.008606,0.972288,0.190136,0.006153,0.979503,1.172135,0.002014,0.010926,0.967771,0.979857,0.186474,0.199414,,,,,,,,,,,
0.00824,0.979247,0.195019,0.006324,0.979772,1.172563,0.002014,0.010926,0.967771,0.979857,0.186474,0.199414,,,,,,,,,,,
0.006287,0.975462,0.192578,0.006348,0.98018,1.172886,0.002014,0.010926,0.969481,0.979857,0.186474,0.199414,,,,,,,,,,,
0.002747,0.974852,0.192456,0.00622,0.980101,1.172685,0.002014,0.010926,0.969481,0.979857,0.186474,0.199414,,,,,,,,,,,
0.008973,0.972044,0.192944,0.006318,0.980113,1.172777,0.002014,0.010926,0.969481,0.979857,0.186474,0.199414,,,,,,,,,,,
0.009339,0.972166,0.19563,0.006409,0.98012,1.172966,0.002014,0.010926,0.969481,0.979857,0.186474,0.199414,,,,,,,,,,,
0.007996,0.971556,0.194775,0.006549,0.979967,1.173185,0.002014,0.010926,0.969481,0.979857,0.186474,0.199414,,,,,,,,,,,
0.004944,0.969603,0.191967,0.006488,0.979912,1.173204,0.002014,0.010926,0.969603,0.979857,0.186474,0.199414,,,,,,,,,,,
0.004944,0.966917,0.188427,0.006421,0.979198,1.172117,0.002014,0.010926,0.966917,0.979247,0.186474,0.199414,,,,,,,,,,,
0.003845,0.970579,0.19392,0.006311,0.979021,1.171983,0.002014,0.010926,0.966917,0.979247,0.186474,0.199414,,,,,,,,,,,
0.006043,0.97119,0.194531,0.006433,0.97918,1.172545,0.002014,0.010926,0.966917,0.979247,0.188427,0.199414,,,,,,,,,,,
0.007142,0.972655,0.188671,0.006244,0.978777,1.171605,0.002014,0.009339,0.966917,0.979247,0.188427,0.19563,,,,,,,,,,,
0.008606,0.973021,0.193554,0.006232,0.978923,1.171702,0.002014,0.009339,0.966917,0.979247,0.188427,0.19563,,,,,,,,,,,
0.006775,0.979979,0.19624,0.00647,0.979393,1.172349,0.002747,0.009339,0.966917,0.979979,0.188427,0.19624,,,,,,,,,,,
0.007264,0.969847,0.193066,0.00658,0.979296,1.172239,0.002747,0.009339,0.966917,0.979979,0.188427,0.19624,,,,,,,,,,,
0.006409,0.973021,0.194287,0.006586,0.979424,1.172453,0.002747,0.009339,0.966917,0.979979,0.188427,0.19624,,,,,,,,,,,
0.005921,0.972777,0.195752,0.006647,0.979613,1.172825,0.002747,0.009339,0.966917,0.979979,0.188427,0.19624,,,,,,,,,,,
0.007264,0.975218,0.191479,0.006678,0.979625,1.172722,0.002747,0.009339,0.966917,0.979979,0.188427,0.19624,,,,,,,,,,,
